,experiment,type,loss,total_detected,avg_error
0,bright,indoor_2,78.5132016016,258,0.30431473489
1,bright,outdoor_2,101.972097237,259,0.393714661147
2,bright,indoor_3,197.101562618,223,0.883863509499
3,bright,outdoor_3,47.6646313826,211,0.225898726932
4,bright,indoor_4,95.4070616391,184,0.518516639343
5,bright,outdoor_4,49.3018005254,168,0.293463098365
6,bright,indoor_5,104.953832512,164,0.639962393365
7,bright,outdoor_5,146.614531595,131,1.11919489767
8,bright,indoor_6,211.052194058,136,1.55185436807
9,bright,outdoor_6,153.104415474,104,1.4721578411
10,bright,indoor_7,88.3835478384,119,0.742718889398
11,bright,outdoor_7,383.912690551,91,4.21882077529
12,bright,indoor_8,159.726405583,106,1.50685288286
13,bright,outdoor_8,272.507484733,77,3.53905824328
14,bright,indoor_9,112.269341152,93,1.20719721668
15,bright,outdoor_9,198.308739895,66,3.0046778772
16,bright,indoor_10,200.125693973,92,2.17527928232
17,bright,outdoor_10,290.215522156,59,4.91890715519
